comm,pc_cons,pc_cons_winzor,percentpoor,lat,lon,pc_cons_sd,pc_cons_winzor_sd,urban,households
20830007,1.2969428,1.2969428,.46153846,1.5315843,34.050114,.71239859,.71239859,0,13
20830008,1.2144165,1.2144165,.58333331,1.6364987,33.791069,.60011232,.60011232,0,12
20910003,2.8659685,2.8659685,0,1.0734538,34.165039,.39645565,.39645565,1,4
20910006,8.1658249,6.0721393,0,1.0707555,34.172199,10.067111,5.4961472,1,5
20930011,1.253011,1.253011,.58333331,.82531697,34.272385,1.0103947,1.0103947,0,12
20930014,.71900386,.71900386,.71428573,.80270845,34.309647,.3126792,.3126792,0,7
20930018,1.3424708,1.3424708,.60000002,.87592757,34.376404,.97760022,.97760022,0,10
20930022,.8658796,.8658796,.80000001,.80868876,34.336269,.56271756,.56271756,0,10
20930026,1.3653061,1.3653061,.5,.85762936,34.366478,.94594449,.94594449,0,8
20930029,1.2131886,1.2131886,.375,.86954325,34.381268,.60545236,.60545236,0,8
20930033,.84762901,.84762901,.66666669,1.0294677,34.246181,.307349,.307349,0,12
20930037,1.3823889,1.3823889,.33333334,1.0495309,34.364651,.91342747,.91342747,0,9
21010002,2.5398715,2.5398715,.25,1.1838995,33.719593,1.6597099,1.6597099,1,4
21030004,1.066699,1.066699,.44444445,1.1494164,33.920567,.44440472,.44440472,0,9
21030006,1.6967654,1.6967654,.63636363,1.2345011,33.690136,1.7366463,1.7366463,0,11
21030007,1.0567667,1.0567667,.60000002,1.2607998,33.797054,.54845351,.54845351,0,10
21030009,1.1296531,1.1359441,.77777779,1.2784162,34.122654,1.32696,1.3223605,0,9
21110003,2.7316687,2.7316687,.16666667,1.6926305,33.445885,1.865779,1.865779,1,12
21130004,1.5031966,1.5031966,.36363637,1.5619385,33.303337,.64642876,.64642876,0,11
21130006,1.8141865,1.8141865,.1,1.5788155,33.510971,1.2555884,1.2555884,0,10
21130007,1.7925252,1.7925252,.21428572,1.7400086,33.578697,.92644554,.92644554,0,14
21130009,2.0539982,2.0539982,.18181819,1.6976744,33.690063,1.4557073,1.4557073,0,11
21210003,1.0675875,1.0891197,.5,.71111792,34.173637,.61676133,.57727194,1,4
21230006,.83036661,.83036661,.75,1.0185233,34.072948,.14115311,.14115311,0,8
21230008,1.3762097,1.3762097,.44444445,.81942934,34.094074,.7795676,.7795676,0,9
21230009,1.3201247,1.3218253,.5,.65594578,34.053288,1.510414,1.5091473,0,12
21230011,3.0455358,3.0455358,.25,.61868602,33.716751,4.2335181,4.2335181,0,12
21230013,1.9303309,1.9303309,.25,.69624227,34.109386,1.5765355,1.5765355,0,8
21430002,1.6261628,1.6261628,.25,.59250146,33.390419,.88246608,.88246608,0,16
21430003,.80480546,.80480546,1,.42370349,33.612171,.22152086,.22152086,0,4
21510001,2.480623,2.480623,.2857143,1.2457378,34.263573,2.5007219,2.5007219,1,7
21530002,1.0735745,1.0735745,.66666669,1.2007403,34.256676,.85142589,.85142589,0,9
21530004,1.9199623,1.9199623,.36363637,1.0691178,34.093575,1.8219249,1.8219249,0,11
21530006,1.109431,1.109431,.30000001,1.1520144,34.32674,.19637644,.19637644,0,10
21530007,.89837617,.89837617,.60000002,1.374773,34.301998,.47633055,.47633055,0,10
30130003,1.3759587,1.3759587,.40000001,3.3878255,31.968801,.59476864,.59476864,0,10
30130033,,,,,,,,,0
30210002,6.3074059,6.3074059,0,2.0180984,32.551552,4.8041606,4.8041606,1,8
30230003,1.0079597,1.0170517,.71428573,2.4070144,32.747772,.83435392,.82519817,0,14
30230005,1.2348014,1.2372186,.58823532,2.3150156,32.870842,1.1496946,1.1475563,0,17
30230008,1.0283046,1.0283046,.63636363,2.4246013,32.851692,.70578194,.70578194,0,11
30230010,1.1136708,1.1136708,.5,1.9447002,32.639019,.57948655,.57948655,0,10
30230013,1.9795455,1.9795455,.33333334,2.0583122,32.649014,1.0927567,1.0927567,0,9
30230016,2.1149368,2.1149368,.33333334,1.8396287,32.453163,2.5845788,2.5845788,0,12
30230018,1.5839729,1.5839729,0,2.0334122,32.832584,.35427418,.35427418,0,2
30230021,1.0784925,1.0891668,.5,2.3525007,32.254761,.76551253,.75285012,0,10
30230023,.82451779,.82451779,.66666669,2.3648579,32.603275,.30790079,.30790079,0,9
30230028,.94305348,.94305348,.61538464,2.3364408,32.442486,.45002645,.45002645,0,13
30230030,1.1936035,1.1936035,.46153846,2.1323674,32.540195,.58134496,.58134496,0,13
30230035,1.9812158,1.9812158,.25,1.9397783,32.417744,1.4510561,1.4510561,0,12
30310002,2.6243675,2.6243675,.083333336,2.7804527,31.052155,1.8799874,1.8799874,1,12
30310005,1.3989512,1.3989512,.16666667,3.4031179,30.961437,.25450417,.25450417,1,6
30330006,.9690941,.9690941,.75,3.0824943,30.945984,.40422109,.40422109,0,8
30330009,2.9236004,2.9236004,0,2.9911683,30.961836,1.1264416,1.1264416,0,9
30330012,2.292228,2.292228,0,3.4425278,30.945656,.79343283,.79343283,0,11
30330015,1.8216968,1.8216968,.2,2.6194327,31.149132,.97669423,.97669423,0,10
30330018,2.0159216,2.0159216,.2,3.192004,30.951784,.96573275,.96573275,0,10
30330021,2.4765477,2.4765477,.090909094,2.9997923,31.115152,2.6409552,2.6409552,0,11
30330024,2.5725334,2.5725334,0,2.9841905,30.992161,1.9724132,1.9724132,0,13
30330027,1.7339454,1.7339454,.18181819,3.0663936,31.114929,.81850761,.81850761,0,11
30330030,1.0620735,1.0620735,.5,3.2451725,31.162683,.43967035,.43967035,0,10
30330033,1.4695382,1.4695382,.22222222,2.7465971,30.955521,.59387606,.59387606,0,9
30410002,3.568805,3.568805,.090909094,2.5803306,32.475807,3.1112359,3.1112359,1,11
30410004,1.7130083,1.7135776,.60000002,2.8056424,32.35463,1.9811534,1.9807169,1,15
30410007,2.2888961,2.1059885,.53333336,2.8078027,32.365356,4.5069685,3.8171523,1,15
30430009,.87149566,.87648559,.69999999,2.867373,32.280708,.6561479,.65106928,0,10
30430014,1.1684357,1.1684357,.5,2.5308959,32.370598,.78480881,.78480881,0,12
30430016,.52145505,.53276318,1,2.881602,32.154472,.24141391,.22598155,0,5
30510001,3.3965988,2.9838252,.090909094,3.2937195,32.906128,5.6297441,4.2983384,1,11
30610001,2.0686839,2.0686839,.42857143,3.4981556,34.130035,2.0360188,2.0360188,1,7
30630002,.63526189,.63526189,.875,3.6923327,33.964535,.31439802,.31439802,0,8
30630003,.70610195,.70949197,.81818181,3.6067822,34.126358,.58133626,.57859588,0,11
30630004,.64491343,.64491343,.875,3.5175991,34.160358,.2342148,.2342148,0,8
30630006,.72969252,.73159313,.875,3.038332,34.147022,.28899458,.28568345,0,8
30630007,.4362351,.45757067,1,3.0411339,34.055347,.22386855,.20251743,0,9
